comp, swap, thresh, size, cpu_time, -->, time
2390000, 0, 240, 240, 0.010451, -->, 0.015s
9760000, 0, -1, 240, 0.202608, -->, 0.206s
2390000, 0, 240, 240, 0.010941, -->, 0.015s
9760000, 0, -1, 240, 0.195500, -->, 0.200s
2390000, 0, 240, 240, 0.012930, -->, 0.016s
9760000, 0, -1, 240, 0.204362, -->, 0.207s
2390000, 0, 240, 240, 0.009162, -->, 0.013s
9760000, 0, -1, 240, 0.203312, -->, 0.205s
2390000, 0, 240, 240, 0.010604, -->, 0.014s
9760000, 0, -1, 240, 0.192439, -->, 0.197s
2390000, 0, 240, 240, 0.011269, -->, 0.013s
9760000, 0, -1, 240, 0.201125, -->, 0.203s
2390000, 0, 240, 240, 0.007968, -->, 0.017s
9760000, 0, -1, 240, 0.194876, -->, 0.200s
2390000, 0, 240, 240, 0.014000, -->, 0.016s
9760000, 0, -1, 240, 0.185317, -->, 0.190s
2390000, 0, 240, 240, 0.012937, -->, 0.016s
9760000, 0, -1, 240, 0.195908, -->, 0.200s
2390000, 0, 240, 240, 0.009732, -->, 0.014s
9760000, 0, -1, 240, 0.198750, -->, 0.201s
 
2380000, 0, 240, 239, 0.011578, -->, 0.014s
9740000, 0, -1, 239, 0.203680, -->, 0.208s
2380000, 0, 240, 239, 0.011190, -->, 0.014s
9740000, 0, -1, 239, 0.197017, -->, 0.199s
2380000, 0, 240, 239, 0.008738, -->, 0.013s
9740000, 0, -1, 239, 0.190896, -->, 0.195s
2380000, 0, 240, 239, 0.011747, -->, 0.016s
9740000, 0, -1, 239, 0.193937, -->, 0.198s
2380000, 0, 240, 239, 0.012454, -->, 0.015s
9740000, 0, -1, 239, 0.203675, -->, 0.208s
2380000, 0, 240, 239, 0.010584, -->, 0.013s
9740000, 0, -1, 239, 0.188678, -->, 0.192s
2380000, 0, 240, 239, 0.010646, -->, 0.014s
9740000, 0, -1, 239, 0.200143, -->, 0.204s
2380000, 0, 240, 239, 0.011293, -->, 0.015s
9740000, 0, -1, 239, 0.194887, -->, 0.197s
2380000, 0, 240, 239, 0.008703, -->, 0.014s
9740000, 0, -1, 239, 0.206593, -->, 0.208s
2380000, 0, 240, 239, 0.009103, -->, 0.014s
9740000, 0, -1, 239, 0.206304, -->, 0.210s
 
2370000, 0, 240, 238, 0.012490, -->, 0.014s
9710000, 0, -1, 238, 0.220972, -->, 0.225s
2370000, 0, 240, 238, 0.009223, -->, 0.014s
9710000, 0, -1, 238, 0.186285, -->, 0.191s
2370000, 0, 240, 238, 0.009897, -->, 0.014s
9710000, 0, -1, 238, 0.199796, -->, 0.204s
2370000, 0, 240, 238, 0.011300, -->, 0.014s
9710000, 0, -1, 238, 0.184217, -->, 0.187s
2370000, 0, 240, 238, 0.009056, -->, 0.013s
9710000, 0, -1, 238, 0.211542, -->, 0.213s
2370000, 0, 240, 238, 0.009461, -->, 0.014s
9710000, 0, -1, 238, 0.191121, -->, 0.193s
2370000, 0, 240, 238, 0.011367, -->, 0.013s
9710000, 0, -1, 238, 0.185607, -->, 0.191s
2370000, 0, 240, 238, 0.012183, -->, 0.014s
9710000, 0, -1, 238, 0.193886, -->, 0.196s
2370000, 0, 240, 238, 0.009342, -->, 0.013s
9710000, 0, -1, 238, 0.199336, -->, 0.204s
2370000, 0, 240, 238, 0.010308, -->, 0.014s
9710000, 0, -1, 238, 0.199375, -->, 0.205s
 
2360000, 0, 240, 237, 0.010954, -->, 0.014s
9680000, 0, -1, 237, 0.182886, -->, 0.188s
2360000, 0, 240, 237, 0.010172, -->, 0.014s
9680000, 0, -1, 237, 0.207433, -->, 0.210s
2360000, 0, 240, 237, 0.012757, -->, 0.014s
9680000, 0, -1, 237, 0.209754, -->, 0.214s
2360000, 0, 240, 237, 0.011275, -->, 0.013s
9680000, 0, -1, 237, 0.209361, -->, 0.214s
2360000, 0, 240, 237, 0.010723, -->, 0.015s
9680000, 0, -1, 237, 0.182785, -->, 0.188s
2360000, 0, 240, 237, 0.014377, -->, 0.016s
9680000, 0, -1, 237, 0.184905, -->, 0.187s
2360000, 0, 240, 237, 0.008388, -->, 0.013s
9680000, 0, -1, 237, 0.206287, -->, 0.210s
2360000, 0, 240, 237, 0.012146, -->, 0.014s
9680000, 0, -1, 237, 0.209859, -->, 0.214s
2360000, 0, 240, 237, 0.010842, -->, 0.015s
9680000, 0, -1, 237, 0.210660, -->, 0.214s
2360000, 0, 240, 237, 0.011647, -->, 0.013s
9680000, 0, -1, 237, 0.214169, -->, 0.216s
 
2350000, 0, 240, 236, 0.012063, -->, 0.017s
9640000, 0, -1, 236, 0.181574, -->, 0.186s
2350000, 0, 240, 236, 0.010031, -->, 0.014s
9640000, 0, -1, 236, 0.211588, -->, 0.217s
2350000, 0, 240, 236, 0.011164, -->, 0.014s
9640000, 0, -1, 236, 0.184228, -->, 0.189s
2350000, 0, 240, 236, 0.012534, -->, 0.015s
9640000, 0, -1, 236, 0.201654, -->, 0.207s
2350000, 0, 240, 236, 0.011420, -->, 0.013s
9640000, 0, -1, 236, 0.185314, -->, 0.188s
2350000, 0, 240, 236, 0.012265, -->, 0.014s
9640000, 0, -1, 236, 0.186482, -->, 0.189s
2350000, 0, 240, 236, 0.009148, -->, 0.014s
9640000, 0, -1, 236, 0.190594, -->, 0.195s
2350000, 0, 240, 236, 0.011141, -->, 0.014s
9640000, 0, -1, 236, 0.189125, -->, 0.191s
2350000, 0, 240, 236, 0.009287, -->, 0.013s
9640000, 0, -1, 236, 0.207385, -->, 0.210s
2350000, 0, 240, 236, 0.009757, -->, 0.014s
9640000, 0, -1, 236, 0.187764, -->, 0.191s
 
2340000, 0, 240, 235, 0.009957, -->, 0.015s
9610000, 0, -1, 235, 0.184996, -->, 0.189s
2340000, 0, 240, 235, 0.011142, -->, 0.015s
9610000, 0, -1, 235, 0.188275, -->, 0.193s
2340000, 0, 240, 235, 0.009951, -->, 0.014s
9610000, 0, -1, 235, 0.187351, -->, 0.191s
2340000, 0, 240, 235, 0.011482, -->, 0.014s
9610000, 0, -1, 235, 0.216798, -->, 0.221s
2340000, 0, 240, 235, 0.011687, -->, 0.013s
9610000, 0, -1, 235, 0.210239, -->, 0.212s
2340000, 0, 240, 235, 0.010612, -->, 0.013s
9610000, 0, -1, 235, 0.188479, -->, 0.192s
2340000, 0, 240, 235, 0.011200, -->, 0.013s
9610000, 0, -1, 235, 0.193481, -->, 0.196s
