Size,,,, CPU Time,,Size,,,,CPU Time
5050,10, Adj List, CPU Time,0.002305,,5050,10, Adj Matrix, CPU Time,2.903257
5050,9, Adj List, CPU Time,0.002331,,5050,9, Adj Matrix, CPU Time,7.594027
5050,8, Adj List, CPU Time,0.002279,,5050,8, Adj Matrix, CPU Time,4.80064
5050,7, Adj List, CPU Time,0.002524,,5050,7, Adj Matrix, CPU Time,11.177063
5050,6, Adj List, CPU Time,0.002544,,5050,6, Adj Matrix, CPU Time,8.059249
5050,5, Adj List, CPU Time,0.002539,,5050,5, Adj Matrix, CPU Time,6.8691
5050,4, Adj List, CPU Time,0.002543,,5050,4, Adj Matrix, CPU Time,6.424973
5050,3, Adj List, CPU Time,0.002561,,5050,3, Adj Matrix, CPU Time,6.462923
5050,2, Adj List, CPU Time,0.002453,,5050,2, Adj Matrix, CPU Time,5.999326
5050,1, Adj List, CPU Time,0.002458,,5050,1, Adj Matrix, CPU Time,4.906228
4800,10, Adj List, CPU Time,0.002387,,4800,10, Adj Matrix, CPU Time,3.969288
4800,9, Adj List, CPU Time,0.002369,,4800,9, Adj Matrix, CPU Time,4.686541
4800,8, Adj List, CPU Time,0.00238,,4800,8, Adj Matrix, CPU Time,4.611747
4800,7, Adj List, CPU Time,0.002445,,4800,7, Adj Matrix, CPU Time,6.071741
4800,6, Adj List, CPU Time,0.002383,,4800,6, Adj Matrix, CPU Time,5.419682
4800,5, Adj List, CPU Time,0.002315,,4800,5, Adj Matrix, CPU Time,6.933059
4800,4, Adj List, CPU Time,0.002295,,4800,4, Adj Matrix, CPU Time,14.305915
4800,3, Adj List, CPU Time,0.003267,,4800,3, Adj Matrix, CPU Time,5.094695
4800,2, Adj List, CPU Time,0.002379,,4800,2, Adj Matrix, CPU Time,3.254124
4800,1, Adj List, CPU Time,0.002397,,4800,1, Adj Matrix, CPU Time,3.642243
4550,10, Adj List, CPU Time,0.002194,,4550,10, Adj Matrix, CPU Time,7.973625
4550,9, Adj List, CPU Time,0.002183,,4550,9, Adj Matrix, CPU Time,3.767263
4550,8, Adj List, CPU Time,0.002227,,4550,8, Adj Matrix, CPU Time,6.556835
4550,7, Adj List, CPU Time,0.002244,,4550,7, Adj Matrix, CPU Time,7.528334
4550,6, Adj List, CPU Time,0.002252,,4550,6, Adj Matrix, CPU Time,3.440688
4550,5, Adj List, CPU Time,0.002193,,4550,5, Adj Matrix, CPU Time,6.406706
4550,4, Adj List, CPU Time,0.002255,,4550,4, Adj Matrix, CPU Time,5.69059
4550,3, Adj List, CPU Time,0.002235,,4550,3, Adj Matrix, CPU Time,4.587854
4550,2, Adj List, CPU Time,0.002243,,4550,2, Adj Matrix, CPU Time,3.354774
4550,1, Adj List, CPU Time,0.002164,,4550,1, Adj Matrix, CPU Time,3.161138
4300,10, Adj List, CPU Time,0.002096,,4300,10, Adj Matrix, CPU Time,1.960239
4300,9, Adj List, CPU Time,0.002055,,4300,9, Adj Matrix, CPU Time,3.582189
4300,8, Adj List, CPU Time,0.003585,,4300,8, Adj Matrix, CPU Time,3.715969
