5050, 5, Adj Matrix, CPU Time:, 7.125871
5050, 5, Adj List, CPU Time:, 0.002316
5050, 4, Adj Matrix, CPU Time:, 4.294257
5050, 4, Adj List, CPU Time:, 0.002285
5050, 3, Adj Matrix, CPU Time:, 8.581236
5050, 3, Adj List, CPU Time:, 0.002540
5050, 2, Adj Matrix, CPU Time:, 5.968143
5050, 2, Adj List, CPU Time:, 0.002484
5050, 1, Adj Matrix, CPU Time:, 5.191353
5050, 1, Adj List, CPU Time:, 0.002538

4800, 5, Adj Matrix, CPU Time:, 4.757120
4800, 5, Adj List, CPU Time:, 0.002315
4800, 4, Adj Matrix, CPU Time:, 3.730513
4800, 4, Adj List, CPU Time:, 0.002319
4800, 3, Adj Matrix, CPU Time:, 4.259315
4800, 3, Adj List, CPU Time:, 0.002328
4800, 2, Adj Matrix, CPU Time:, 5.786182
4800, 2, Adj List, CPU Time:, 0.002374
4800, 1, Adj Matrix, CPU Time:, 7.128486
4800, 1, Adj List, CPU Time:, 0.002327

4550, 5, Adj Matrix, CPU Time:, 3.976312
4550, 5, Adj List, CPU Time:, 0.002192
4550, 4, Adj Matrix, CPU Time:, 6.894007
4550, 4, Adj List, CPU Time:, 0.002167
4550, 3, Adj Matrix, CPU Time:, 4.954453
4550, 3, Adj List, CPU Time:, 0.002188
4550, 2, Adj Matrix, CPU Time:, 2.869146
4550, 2, Adj List, CPU Time:, 0.002192
4550, 1, Adj Matrix, CPU Time:, 3.918299
4550, 1, Adj List, CPU Time:, 0.002179

4300, 5, Adj Matrix, CPU Time:, 2.056630
4300, 5, Adj List, CPU Time:, 0.002080
4300, 4, Adj Matrix, CPU Time:, 5.512528
4300, 4, Adj List, CPU Time:, 0.002032
4300, 3, Adj Matrix, CPU Time:, 4.481817
4300, 3, Adj List, CPU Time:, 0.002029
4300, 2, Adj Matrix, CPU Time:, 2.162795
4300, 2, Adj List, CPU Time:, 0.002099
4300, 1, Adj Matrix, CPU Time:, 4.264559
4300, 1, Adj List, CPU Time:, 0.002055

4050, 5, Adj Matrix, CPU Time:, 3.434889
4050, 5, Adj List, CPU Time:, 0.001879
4050, 4, Adj Matrix, CPU Time:, 5.068483
4050, 4, Adj List, CPU Time:, 0.001920
4050, 3, Adj Matrix, CPU Time:, 2.310042
4050, 3, Adj List, CPU Time:, 0.002420
4050, 2, Adj Matrix, CPU Time:, 1.960669
4050, 2, Adj List, CPU Time:, 0.001902
4050, 1, Adj Matrix, CPU Time:, 3.131018
4050, 1, Adj List, CPU Time:, 0.001885

3800, 5, Adj Matrix, CPU Time:, 4.816255
3800, 5, Adj List, CPU Time:, 0.001773
3800, 4, Adj Matrix, CPU Time:, 2.224259
3800, 4, Adj List, CPU Time:, 0.001760
3800, 3, Adj Matrix, CPU Time:, 1.966315
3800, 3, Adj List, CPU Time:, 0.001780
3800, 2, Adj Matrix, CPU Time:, 2.462173
3800, 2, Adj List, CPU Time:, 0.001757
3800, 1, Adj Matrix, CPU Time:, 2.672769
3800, 1, Adj List, CPU Time:, 0.001777

3550, 5, Adj Matrix, CPU Time:, 3.127178
3550, 5, Adj List, CPU Time:, 0.001638
3550, 4, Adj Matrix, CPU Time:, 2.089201
3550, 4, Adj List, CPU Time:, 0.001638
3550, 3, Adj Matrix, CPU Time:, 2.848072
3550, 3, Adj List, CPU Time:, 0.001667
3550, 2, Adj Matrix, CPU Time:, 1.926166
3550, 2, Adj List, CPU Time:, 0.001623
3550, 1, Adj Matrix, CPU Time:, 2.091259
3550, 1, Adj List, CPU Time:, 0.001681

3300, 5, Adj Matrix, CPU Time:, 2.784148
3300, 5, Adj List, CPU Time:, 0.001501
3300, 4, Adj Matrix, CPU Time:, 1.625669
3300, 4, Adj List, CPU Time:, 0.001557
3300, 3, Adj Matrix, CPU Time:, 2.659477
3300, 3, Adj List, CPU Time:, 0.001510
3300, 2, Adj Matrix, CPU Time:, 1.856239
3300, 2, Adj List, CPU Time:, 0.001478
3300, 1, Adj Matrix, CPU Time:, 2.380456
3300, 1, Adj List, CPU Time:, 0.001502

3050, 5, Adj Matrix, CPU Time:, 1.633945
3050, 5, Adj List, CPU Time:, 0.001351
3050, 4, Adj Matrix, CPU Time:, 1.255235
3050, 4, Adj List, CPU Time:, 0.001386
3050, 3, Adj Matrix, CPU Time:, 1.293157
3050, 3, Adj List, CPU Time:, 0.001384
3050, 2, Adj Matrix, CPU Time:, 1.311548
3050, 2, Adj List, CPU Time:, 0.001365
3050, 1, Adj Matrix, CPU Time:, 2.331799
3050, 1, Adj List, CPU Time:, 0.001328

2800, 5, Adj Matrix, CPU Time:, 0.883267
2800, 5, Adj List, CPU Time:, 0.001262
2800, 4, Adj Matrix, CPU Time:, 1.781390
2800, 4, Adj List, CPU Time:, 0.001204
2800, 3, Adj Matrix, CPU Time:, 1.817018
2800, 3, Adj List, CPU Time:, 0.001204
2800, 2, Adj Matrix, CPU Time:, 1.230922
2800, 2, Adj List, CPU Time:, 0.001276
2800, 1, Adj Matrix, CPU Time:, 1.044801
2800, 1, Adj List, CPU Time:, 0.001284

2550, 5, Adj Matrix, CPU Time:, 2.239785
2550, 5, Adj List, CPU Time:, 0.001096
2550, 4, Adj Matrix, CPU Time:, 1.078095
2550, 4, Adj List, CPU Time:, 0.001152
2550, 3, Adj Matrix, CPU Time:, 1.080875
2550, 3, Adj List, CPU Time:, 0.001136
2550, 2, Adj Matrix, CPU Time:, 0.806095
2550, 2, Adj List, CPU Time:, 0.001135
2550, 1, Adj Matrix, CPU Time:, 1.542950
2550, 1, Adj List, CPU Time:, 0.001100

2300, 5, Adj Matrix, CPU Time:, 0.668811
2300, 5, Adj List, CPU Time:, 0.001006
2300, 4, Adj Matrix, CPU Time:, 0.829844
2300, 4, Adj List, CPU Time:, 0.001008
2300, 3, Adj Matrix, CPU Time:, 0.819861
2300, 3, Adj List, CPU Time:, 0.001013
2300, 2, Adj Matrix, CPU Time:, 0.466687
2300, 2, Adj List, CPU Time:, 0.001074
2300, 1, Adj Matrix, CPU Time:, 0.832549
2300, 1, Adj List, CPU Time:, 0.000994

2050, 5, Adj Matrix, CPU Time:, 0.493232
2050, 5, Adj List, CPU Time:, 0.000929
2050, 4, Adj Matrix, CPU Time:, 0.455906
2050, 4, Adj List, CPU Time:, 0.000898
2050, 3, Adj Matrix, CPU Time:, 0.663215
2050, 3, Adj List, CPU Time:, 0.000879
2050, 2, Adj Matrix, CPU Time:, 0.341450
2050, 2, Adj List, CPU Time:, 0.000933
2050, 1, Adj Matrix, CPU Time:, 1.133367
2050, 1, Adj List, CPU Time:, 0.000866

1800, 5, Adj Matrix, CPU Time:, 0.313911
1800, 5, Adj List, CPU Time:, 0.000770
1800, 4, Adj Matrix, CPU Time:, 0.580690
1800, 4, Adj List, CPU Time:, 0.000753
1800, 3, Adj Matrix, CPU Time:, 0.413099
1800, 3, Adj List, CPU Time:, 0.000768
1800, 2, Adj Matrix, CPU Time:, 0.711351
1800, 2, Adj List, CPU Time:, 0.000752
1800, 1, Adj Matrix, CPU Time:, 0.347583
1800, 1, Adj List, CPU Time:, 0.000788

1550, 5, Adj Matrix, CPU Time:, 0.269286
1550, 5, Adj List, CPU Time:, 0.000664
1550, 4, Adj Matrix, CPU Time:, 0.252962
1550, 4, Adj List, CPU Time:, 0.000681
1550, 3, Adj Matrix, CPU Time:, 0.325998
1550, 3, Adj List, CPU Time:, 0.000662
1550, 2, Adj Matrix, CPU Time:, 0.198017
1550, 2, Adj List, CPU Time:, 0.000684
1550, 1, Adj Matrix, CPU Time:, 0.171098
1550, 1, Adj List, CPU Time:, 0.000690

1300, 5, Adj Matrix, CPU Time:, 0.347023
1300, 5, Adj List, CPU Time:, 0.000540
1300, 4, Adj Matrix, CPU Time:, 0.198236
1300, 4, Adj List, CPU Time:, 0.000538
1300, 3, Adj Matrix, CPU Time:, 0.185851
1300, 3, Adj List, CPU Time:, 0.000550
1300, 2, Adj Matrix, CPU Time:, 0.317024
1300, 2, Adj List, CPU Time:, 0.000538
1300, 1, Adj Matrix, CPU Time:, 0.170168
1300, 1, Adj List, CPU Time:, 0.000539

1050, 5, Adj Matrix, CPU Time:, 0.112135
1050, 5, Adj List, CPU Time:, 0.000448
1050, 4, Adj Matrix, CPU Time:, 0.136942
1050, 4, Adj List, CPU Time:, 0.000441
1050, 3, Adj Matrix, CPU Time:, 0.136706
1050, 3, Adj List, CPU Time:, 0.000430
1050, 2, Adj Matrix, CPU Time:, 0.109364
1050, 2, Adj List, CPU Time:, 0.000440
1050, 1, Adj Matrix, CPU Time:, 0.143556
1050, 1, Adj List, CPU Time:, 0.000429

800, 5, Adj Matrix, CPU Time:, 0.045482
800, 5, Adj List, CPU Time:, 0.000320
800, 4, Adj Matrix, CPU Time:, 0.058670
800, 4, Adj List, CPU Time:, 0.000329
800, 3, Adj Matrix, CPU Time:, 0.068816
800, 3, Adj List, CPU Time:, 0.000319
800, 2, Adj Matrix, CPU Time:, 0.067456
800, 2, Adj List, CPU Time:, 0.000332
800, 1, Adj Matrix, CPU Time:, 0.095210
800, 1, Adj List, CPU Time:, 0.000342

550, 5, Adj Matrix, CPU Time:, 0.024957
550, 5, Adj List, CPU Time:, 0.000208
550, 4, Adj Matrix, CPU Time:, 0.018568
550, 4, Adj List, CPU Time:, 0.000217
550, 3, Adj Matrix, CPU Time:, 0.033509
550, 3, Adj List, CPU Time:, 0.000213
550, 2, Adj Matrix, CPU Time:, 0.017242
550, 2, Adj List, CPU Time:, 0.000220
550, 1, Adj Matrix, CPU Time:, 0.031094
550, 1, Adj List, CPU Time:, 0.000214

300, 5, Adj Matrix, CPU Time:, 0.007257
300, 5, Adj List, CPU Time:, 0.000110
300, 4, Adj Matrix, CPU Time:, 0.003759
300, 4, Adj List, CPU Time:, 0.000154
300, 3, Adj Matrix, CPU Time:, 0.008725
300, 3, Adj List, CPU Time:, 0.000157
300, 2, Adj Matrix, CPU Time:, 0.006036
300, 2, Adj List, CPU Time:, 0.000109
300, 1, Adj Matrix, CPU Time:, 0.004155
300, 1, Adj List, CPU Time:, 0.000112

50, 5, Adj Matrix, CPU Time:, 0.000100
50, 5, Adj List, CPU Time:, 0.000018
50, 4, Adj Matrix, CPU Time:, 0.000123
50, 4, Adj List, CPU Time:, 0.000019
50, 3, Adj Matrix, CPU Time:, 0.000125
50, 3, Adj List, CPU Time:, 0.000017
50, 2, Adj Matrix, CPU Time:, 0.000099
50, 2, Adj List, CPU Time:, 0.000017
50, 1, Adj Matrix, CPU Time:, 0.000104
50, 1, Adj List, CPU Time:, 0.000023

